"","year","state_po","margin"
"289",2016,"NV",2.41712836051662
"290",2016,"NY",22.2580274706091
"291",2016,"OH",-8.12957439906617
"292",2016,"OK",-36.3911845350835
"293",2016,"OR",10.9778168183653
"294",2016,"PA",-0.724269639183164
"295",2016,"RI",15.508549070978
"296",2016,"SC",-14.2659128960303
"297",2016,"SD",-29.7933222190098
"298",2016,"TN",-26.0057008955645
"299",2016,"TX",-8.99942759832342
"300",2016,"UT",-18.0795479958314
"301",2016,"VA",5.32370581949366
"302",2016,"VT",25.9633597219058
"303",2016,"WA",15.7059998751891
"304",2016,"WI",-0.764343195067453
"305",2016,"WV",-42.1536467938478
"306",2016,"WY",-45.7695101782154
"307",2020,"AK",-10.0611909993603
"308",2020,"AL",-25.4616529547425
"309",2020,"AR",-27.6206679031294
"310",2020,"AZ",0.308709583901874
"311",2020,"CA",29.1632232685886
"312",2020,"CO",13.4069415057409
"313",2020,"CT",20.0736132273528
"314",2020,"DE",18.9681290225361
"315",2020,"FL",-3.3583688970618
"316",2020,"GA",0.235581884655077
"317",2020,"HI",29.1946655996026
"318",2020,"IA",-8.15296477328204
"319",2020,"ID",-30.7711626770997
"320",2020,"IL",16.9881945585021
"321",2020,"IN",-16.059480705993
"322",2020,"KS",-14.6529592954326
"323",2020,"KY",-25.9350570581364
"324",2020,"LA",-18.6094256124823
"325",2020,"MA",33.2148261142344
"326",2020,"MD",33.2103732923284
"327",2020,"ME",8.97435123535413
"328",2020,"MI",2.78352759968675
"329",2020,"MN",7.11015690057064
"330",2020,"MO",-15.3908740427011
"331",2020,"MS",-16.5453481194039
"332",2020,"MT",-16.3690998784112
"333",2020,"NC",-1.34812071093227
"334",2020,"ND",-33.3572863779956
"335",2020,"NE",-19.0575323902662
"336",2020,"NH",7.35156577547006
"337",2020,"NJ",15.9376728954645
"338",2020,"NM",10.7926166034428
"339",2020,"NV",2.39053463272462
"340",2020,"NY",22.930590695744
"341",2020,"OH",-8.03196176016961
"342",2020,"OK",-33.0870975120763
"343",2020,"OR",16.0860726077055
"344",2020,"PA",1.16488363527566
"345",2020,"RI",20.8058182943577
"346",2020,"SC",-11.6766424193826
"347",2020,"SD",-26.1641375361149
"348",2020,"TN",-23.2088598952601
"349",2020,"TX",-5.57859368968214
"350",2020,"UT",-20.4837904466135
"351",2020,"VA",10.1140135105203
"352",2020,"VT",35.0747234262794
"353",2020,"WA",19.2033233919598
"354",2020,"WI",0.627099541818916
"355",2020,"WV",-38.9350306800964
"356",2020,"WY",-43.1119233904123
