date,value
2010-05-17,2.864
2010-05-24,2.786
2010-05-31,2.728
2010-06-07,2.725
2010-06-14,2.701
2010-06-21,2.743
2010-06-28,2.757
2010-07-05,2.726
2010-07-12,2.718
2010-07-19,2.722
2010-07-26,2.749
2010-08-02,2.735
2010-08-09,2.783
2010-08-16,2.745
2010-08-23,2.704
2010-08-30,2.682
2010-09-06,2.682
2010-09-13,2.721
2010-09-20,2.723
2010-09-27,2.694
2010-10-04,2.732
2010-10-11,2.819
2010-10-18,2.834
2010-10-25,2.817
2010-11-01,2.806
2010-11-08,2.865
2010-11-15,2.892
2010-11-22,2.876
2010-11-29,2.856
2010-12-06,2.958
2010-12-13,2.980
2010-12-20,2.982
2010-12-27,3.052
2011-01-03,3.070
2011-01-10,3.089
2011-01-17,3.104
2011-01-24,3.110
2011-01-31,3.101
2011-02-07,3.132
2011-02-14,3.140
2011-02-21,3.189
2011-02-28,3.383
2011-03-07,3.520
2011-03-14,3.567
2011-03-21,3.562
2011-03-28,3.596
2011-04-04,3.684
2011-04-11,3.791
2011-04-18,3.844
2011-04-25,3.879
2011-05-02,3.963
2011-05-09,3.965
2011-05-16,3.960
2011-05-23,3.849
2011-05-30,3.794
2011-06-06,3.781
2011-06-13,3.713
2011-06-20,3.652
2011-06-27,3.574
2011-07-04,3.579
2011-07-11,3.641
2011-07-18,3.682
2011-07-25,3.699
2011-08-01,3.711
2011-08-08,3.674
2011-08-15,3.604
2011-08-22,3.581
2011-08-29,3.627
2011-09-05,3.674
2011-09-12,3.661
2011-09-19,3.601
2011-09-26,3.509
2011-10-03,3.433
2011-10-10,3.417
2011-10-17,3.476
2011-10-24,3.462
2011-10-31,3.452
2011-11-07,3.424
2011-11-14,3.436
2011-11-21,3.368
2011-11-28,3.307
2011-12-05,3.290
2011-12-12,3.286
2011-12-19,3.229
2011-12-26,3.258
2012-01-02,3.299
2012-01-09,3.382
2012-01-16,3.391
2012-01-23,3.389
2012-01-30,3.439
2012-02-06,3.482
2012-02-13,3.523
2012-02-20,3.591
2012-02-27,3.721
2012-03-05,3.793
2012-03-12,3.829
2012-03-19,3.867
2012-03-26,3.918
2012-04-02,3.941
2012-04-09,3.939
2012-04-16,3.922
2012-04-23,3.870
2012-04-30,3.830
2012-05-07,3.790
2012-05-14,3.754
2012-05-21,3.715
2012-05-28,3.670
2012-06-04,3.613
2012-06-11,3.572
2012-06-18,3.533
2012-06-25,3.437
2012-07-02,3.356
2012-07-09,3.411
2012-07-16,3.427
2012-07-23,3.494
2012-07-30,3.508
2012-08-06,3.645
2012-08-13,3.721
2012-08-20,3.744
2012-08-27,3.776
2012-09-03,3.843
2012-09-10,3.847
2012-09-17,3.878
2012-09-24,3.826
2012-10-01,3.804
2012-10-08,3.850
2012-10-15,3.819
2012-10-22,3.687
2012-10-29,3.568
2012-11-05,3.492
2012-11-12,3.449
2012-11-19,3.429
